caseid,recid,age_group_reach_CA,age_group,sex,marital_status,num_child,have_child,province,immstat,harassed,smoke_status,drink_status,stress_level,health_level,living_standard,job_satisfaction,discrimination,health_awareness,eat_habits,social_class,income,Gender,stress,health
987,987,4,3,1,1,2,1,24,1,2,3,4,2,8,8,2,6,1,2,3,2,male,Not very stressful,level 8
1021,1021,4,4,1,1,0,2,35,2,2,2,6,1,9,8,2,6,1,1,3,4,male,Not at all stressful,level 9
1060,1060,1,5,1,1,1,1,48,2,2,3,4,3,7,8,2,6,6,4,4,3,male,A bit stressful,level 7
1075,1075,4,4,2,1,1,1,35,1,1,1,6,5,0,0,1,3,6,5,4,2,female,Extremely stressful,Not at all satisfied
1080,1080,3,3,1,1,0,2,35,1,2,3,6,3,7,8,2,6,6,3,3,4,male,A bit stressful,level 7
1092,1092,1,4,2,4,1,1,35,1,2,3,5,3,8,7,2,6,6,2,4,2,female,A bit stressful,level 8
1096,1096,4,3,2,1,1,1,59,1,2,3,6,4,7,7,2,6,6,1,4,3,female,Quite A bit stressful,level 7
1104,1104,5,4,1,1,1,1,35,1,2,3,7,4,8,5,4,6,6,3,5,2,male,Quite A bit stressful,level 8
1112,1112,3,1,2,6,0,2,48,2,2,3,6,2,8,9,1,6,6,3,3,3,female,Not very stressful,level 8
1142,1142,3,6,1,1,0,2,35,1,2,1,4,1,8,7,2,6,6,3,3,2,male,Not at all stressful,level 8
1188,1188,4,4,2,1,0,2,59,1,2,3,7,4,9,9,1,6,6,3,2,6,female,Quite A bit stressful,level 9
1191,1191,1,4,1,1,2,1,35,1,2,3,3,3,6,5,1,6,6,3,2,6,male,A bit stressful,level 6
1228,1228,4,2,1,1,1,1,47,2,2,3,5,3,9,8,2,6,1,3,2,6,male,A bit stressful,level 9
1229,1229,4,5,2,3,0,2,35,1,2,3,6,4,7,8,2,6,6,3,3,4,female,Quite A bit stressful,level 7
1265,1265,1,2,2,1,2,1,35,1,2,3,6,2,8,7,2,6,6,3,3,2,female,Not very stressful,level 8
1286,1286,4,4,2,1,0,2,59,1,2,3,5,2,9,9,2,6,6,1,4,2,female,Not very stressful,level 9
1328,1328,2,6,1,5,0,2,24,1,1,3,4,3,8,8,1,6,6,2,3,4,male,A bit stressful,level 8
1341,1341,4,3,2,1,2,1,11,1,1,3,7,2,8,7,1,6,6,2,3,4,female,Not very stressful,level 8
1347,1347,4,3,2,1,2,1,24,1,2,3,7,3,8,8,2,6,6,1,3,1,female,A bit stressful,level 8
1357,1357,4,3,2,6,0,2,35,1,2,3,4,1,6,6,2,6,6,3,3,3,female,Not at all stressful,level 6
1364,1364,2,2,1,6,0,2,59,1,1,3,5,3,8,8,2,1,1,3,4,1,male,A bit stressful,level 8
1369,1369,1,1,2,6,0,2,35,1,2,3,5,4,6,10,2,6,6,3,3,1,female,Quite A bit stressful,level 6
1374,1374,5,4,2,1,1,1,35,1,2,3,5,2,8,8,3,2,6,2,4,2,female,Not very stressful,level 8
1383,1383,3,4,1,1,2,1,59,1,2,3,6,2,9,8,1,6,1,3,3,5,male,Not very stressful,level 9
1394,1394,2,2,1,1,1,1,59,1,2,3,6,1,7,10,2,6,6,3,3,5,male,Not at all stressful,level 7
1397,1397,4,4,1,1,0,2,24,1,2,3,5,3,10,8,1,6,6,1,3,3,male,A bit stressful,Completely satisfied
1402,1402,3,2,2,1,0,2,35,1,2,3,7,3,7,5,2,6,6,3,3,2,female,A bit stressful,level 7
1404,1404,3,2,1,1,0,2,35,1,2,3,5,2,8,9,2,6,6,1,3,2,male,Not very stressful,level 8
1409,1409,4,6,1,1,0,2,48,1,2,3,1,2,9,8,2,6,6,3,3,4,male,Not very stressful,level 9
1416,1416,3,4,2,5,0,2,35,1,2,2,6,4,2,2,2,6,6,4,4,2,female,Quite A bit stressful,level 2
1418,1418,3,4,1,1,1,1,35,1,2,3,5,5,10,4,1,2,6,3,4,4,male,Extremely stressful,Completely satisfied
1475,1475,4,3,1,1,0,2,35,1,2,3,6,2,8,5,2,6,6,3,3,3,male,Not very stressful,level 8
1485,1485,4,4,1,1,1,1,48,1,2,3,4,2,8,8,2,6,6,2,4,3,male,Not very stressful,level 8
1500,1500,5,5,1,1,1,1,35,1,2,3,7,3,2,8,2,2,6,1,2,3,male,A bit stressful,level 2
1506,1506,3,3,1,1,1,1,59,1,2,3,5,2,8,10,2,6,6,2,3,2,male,Not very stressful,level 8
1507,1507,6,5,1,1,1,1,59,1,2,1,6,3,10,10,3,6,6,3,3,1,male,A bit stressful,Completely satisfied
1510,1510,3,3,1,1,3,1,24,1,2,3,7,3,9,9,1,6,6,2,2,6,male,A bit stressful,level 9
1549,1549,5,5,2,1,2,1,59,1,2,3,2,2,8,8,2,6,6,3,3,2,female,Not very stressful,level 8
1562,1562,3,2,1,6,0,2,59,1,2,3,3,3,2,6,2,6,6,3,4,2,male,A bit stressful,level 2
1563,1563,3,3,2,1,2,1,35,1,2,3,6,2,9,8,2,6,6,2,3,2,female,Not very stressful,level 9
1565,1565,1,3,1,1,0,2,59,1,2,3,5,3,7,8,2,6,6,3,3,4,male,A bit stressful,level 7
1585,1585,4,5,1,1,0,2,35,1,2,3,2,2,8,9,1,6,2,2,3,6,male,Not very stressful,level 8
1595,1595,5,5,1,1,2,1,35,1,2,3,5,2,8,8,2,6,6,2,3,5,male,Not very stressful,level 8
1610,1610,5,5,1,1,0,2,59,1,2,3,4,4,9,8,1,6,6,3,3,4,male,Quite A bit stressful,level 9
1619,1619,3,3,1,1,1,1,35,1,2,3,6,2,8,8,1,6,6,4,3,5,male,Not very stressful,level 8
1621,1621,1,2,1,6,0,2,48,1,2,3,4,2,7,6,4,6,6,3,3,3,male,Not very stressful,level 7
1647,1647,2,2,1,6,0,2,59,1,2,3,4,3,9,7,2,6,6,4,3,2,male,A bit stressful,level 9
1655,1655,4,3,2,1,0,2,48,1,2,3,5,1,7,8,2,6,6,2,3,3,female,Not at all stressful,level 7
1665,1665,1,2,2,4,0,2,59,1,2,3,6,1,8,8,2,6,6,2,3,3,female,Not at all stressful,level 8
1668,1668,1,4,2,1,1,1,59,2,2,3,7,3,2,2,2,6,1,3,3,2,female,A bit stressful,level 2
1696,1696,4,6,2,5,0,2,35,1,2,3,7,1,9,8,1,6,6,2,3,3,female,Not at all stressful,level 9
1746,1746,4,4,1,1,0,2,59,1,1,3,3,2,7,8,2,1,6,2,3,3,male,Not very stressful,level 7
1755,1755,3,2,2,6,0,2,48,2,2,3,7,3,10,9,1,6,6,1,3,2,female,A bit stressful,Completely satisfied
1768,1768,1,3,1,6,0,2,59,1,2,3,4,2,8,8,2,6,6,1,3,2,male,Not very stressful,level 8
1786,1786,3,4,1,1,2,1,35,1,2,2,3,3,9,8,1,6,6,2,2,3,male,A bit stressful,level 9
1795,1795,4,4,1,1,1,1,59,1,2,2,3,3,8,7,1,6,6,3,3,1,male,A bit stressful,level 8
1798,1798,2,3,1,1,2,1,59,1,2,3,7,3,5,5,2,6,6,4,4,2,male,A bit stressful,level 5
1803,1803,1,1,2,6,0,2,35,1,2,3,7,3,5,8,4,3,6,3,3,1,female,A bit stressful,level 5
1830,1830,3,4,2,1,2,1,35,1,2,3,5,3,5,4,1,6,6,3,3,2,female,A bit stressful,level 5
1836,1836,2,3,2,1,2,1,59,1,2,3,5,4,8,8,2,6,6,4,3,3,female,Quite A bit stressful,level 8
1845,1845,4,5,1,1,0,2,35,1,2,3,6,2,7,9,1,6,6,3,3,3,male,Not very stressful,level 7
1851,1851,3,3,2,1,2,1,46,1,2,3,6,1,10,10,1,6,6,1,3,2,female,Not at all stressful,Completely satisfied
1904,1904,4,5,2,1,0,2,35,1,2,3,7,2,9,10,1,6,6,2,2,2,female,Not very stressful,level 9
1909,1909,2,3,1,2,0,2,59,1,2,2,6,2,9,8,1,6,6,2,3,5,male,Not very stressful,level 9
1924,1924,3,2,2,1,1,1,47,1,2,3,7,1,10,9,1,6,6,3,3,2,female,Not at all stressful,Completely satisfied
1925,1925,3,4,2,1,3,1,35,1,2,3,7,2,10,10,2,6,6,3,3,6,female,Not very stressful,Completely satisfied
1930,1930,1,4,2,1,2,1,35,1,2,3,2,3,7,7,2,6,6,2,2,1,female,A bit stressful,level 7
1935,1935,3,3,2,6,2,1,35,1,2,3,7,3,5,5,2,6,6,5,3,2,female,A bit stressful,level 5
1958,1958,3,3,1,5,0,2,46,1,2,1,2,4,5,8,1,6,6,5,3,5,male,Quite A bit stressful,level 5
1960,1960,2,3,1,1,0,2,59,1,2,3,6,4,8,6,2,6,6,3,4,3,male,Quite A bit stressful,level 8
1968,1968,1,1,2,6,0,2,35,1,2,3,7,3,5,7,2,6,6,4,4,1,female,A bit stressful,level 5
1984,1984,2,4,2,1,2,1,35,1,2,3,6,3,8,5,1,6,6,3,3,2,female,A bit stressful,level 8
1990,1990,2,3,2,1,0,2,35,1,2,3,6,2,7,6,1,6,6,3,3,4,female,Not very stressful,level 7
2001,2001,4,3,1,1,3,1,47,1,2,3,3,4,9,10,2,6,6,3,3,3,male,Quite A bit stressful,level 9
2005,2005,3,5,2,1,0,2,46,2,2,3,6,3,8,10,2,3,6,1,3,2,female,A bit stressful,level 8
2008,2008,5,5,1,1,0,2,35,1,2,3,4,4,7,6,2,6,6,3,2,6,male,Quite A bit stressful,level 7
2020,2020,4,4,2,1,2,1,24,1,2,3,3,3,7,10,2,2,6,3,2,6,female,A bit stressful,level 7
2023,2023,4,3,2,6,0,2,46,1,2,2,6,2,8,7,1,6,6,3,3,3,female,Not very stressful,level 8
2024,2024,2,3,2,4,1,1,59,1,2,3,4,3,7,6,2,6,6,3,4,3,female,A bit stressful,level 7
2036,2036,3,3,1,6,0,2,24,1,2,3,1,4,5,5,2,6,1,4,3,3,male,Quite A bit stressful,level 5
2052,2052,5,5,1,1,1,1,24,1,1,3,1,4,1,9,2,6,6,2,3,6,male,Quite A bit stressful,level 1
2056,2056,5,5,1,1,1,1,47,1,2,3,4,2,6,8,1,6,6,3,3,4,male,Not very stressful,level 6
2095,2095,2,2,2,1,0,2,35,1,2,3,7,3,8,8,2,6,6,2,3,1,female,A bit stressful,level 8
2099,2099,3,4,1,1,2,1,59,1,2,3,2,2,5,5,2,6,6,3,3,5,male,Not very stressful,level 5
2141,2141,2,2,2,1,2,1,47,1,2,3,2,3,9,8,2,6,6,2,3,4,female,A bit stressful,level 9
2176,2176,3,3,1,1,1,1,12,1,2,3,3,3,6,8,2,6,6,3,3,2,male,A bit stressful,level 6
2178,2178,5,3,2,1,1,1,59,1,2,3,7,3,6,6,3,6,6,3,4,1,female,A bit stressful,level 6
2179,2179,3,2,2,1,3,1,48,1,2,3,7,3,9,8,2,6,6,3,2,2,female,A bit stressful,level 9
2205,2205,4,4,1,6,0,2,59,1,2,3,4,4,6,7,1,6,1,4,3,2,male,Quite A bit stressful,level 6
2211,2211,3,2,1,1,0,2,35,2,2,3,4,3,8,7,2,6,6,2,3,3,male,A bit stressful,level 8
2214,2214,4,4,1,1,1,1,59,1,2,2,4,3,8,9,1,6,6,2,3,4,male,A bit stressful,level 8
2216,2216,4,4,2,1,2,1,35,1,2,3,5,5,6,3,2,6,6,1,5,1,female,Extremely stressful,level 6
2224,2224,4,3,2,5,1,1,24,2,1,3,5,4,5,5,2,6,6,5,4,2,female,Quite A bit stressful,level 5
2231,2231,3,6,2,1,0,2,48,1,1,3,6,2,8,8,2,2,6,1,3,6,female,Not very stressful,level 8
2250,2250,3,4,1,5,0,2,35,1,2,3,5,3,8,8,2,6,6,3,4,3,male,A bit stressful,level 8
2256,2256,3,4,1,1,2,1,35,1,2,2,4,2,10,9,1,6,1,2,2,4,male,Not very stressful,Completely satisfied
2271,2271,2,1,2,6,0,2,48,1,2,3,5,2,8,8,2,6,6,2,2,1,female,Not very stressful,level 8
2303,2303,3,3,2,1,2,1,35,1,2,3,7,3,10,10,1,6,6,2,2,2,female,A bit stressful,Completely satisfied
2308,2308,3,2,2,6,0,2,12,2,2,3,6,4,7,8,2,6,6,1,3,2,female,Quite A bit stressful,level 7
2312,2312,1,5,2,1,0,2,35,1,2,3,5,4,7,8,2,6,6,3,3,4,female,Quite A bit stressful,level 7
2313,2313,4,4,2,1,1,1,35,1,2,3,7,4,6,7,1,6,6,3,4,3,female,Quite A bit stressful,level 6
2320,2320,2,5,2,5,0,2,35,1,2,3,6,3,7,6,2,6,6,3,3,3,female,A bit stressful,level 7
2323,2323,3,3,2,1,2,1,35,1,2,3,6,3,7,8,1,6,6,3,2,3,female,A bit stressful,level 7
2327,2327,3,3,2,1,3,1,48,1,2,3,7,3,9,8,1,6,6,3,3,1,female,A bit stressful,level 9
2349,2349,2,2,1,6,0,2,35,1,2,2,4,4,8,5,2,6,2,2,4,1,male,Quite A bit stressful,level 8
2357,2357,3,5,2,1,1,1,35,1,2,3,6,3,8,8,1,6,6,2,2,6,female,A bit stressful,level 8
2361,2361,4,3,1,1,1,1,59,1,2,3,3,2,6,8,1,6,6,3,2,6,male,Not very stressful,level 6
2384,2384,4,5,1,1,2,1,35,1,2,3,1,3,7,9,4,4,6,2,2,3,male,A bit stressful,level 7
2386,2386,1,1,2,6,0,2,48,1,2,3,5,3,9,10,2,6,6,3,3,1,female,A bit stressful,level 9
2391,2391,2,5,2,2,2,1,35,1,1,3,1,3,9,6,1,6,6,1,3,4,female,A bit stressful,level 9
2406,2406,5,4,2,1,3,1,13,1,2,3,4,2,8,7,2,6,6,2,3,2,female,Not very stressful,level 8
2412,2412,3,2,2,6,0,2,46,1,2,3,6,2,10,10,2,6,6,1,3,1,female,Not very stressful,Completely satisfied
2413,2413,3,2,2,5,1,1,47,1,2,3,5,5,6,4,3,6,6,4,3,2,female,Extremely stressful,level 6
2419,2419,3,3,1,1,2,1,48,1,2,3,4,3,10,10,1,6,6,3,2,5,male,A bit stressful,Completely satisfied
2428,2428,4,3,2,6,2,1,35,1,2,3,6,2,5,5,1,6,6,2,3,2,female,Not very stressful,level 5
2462,2462,2,1,2,6,0,2,35,2,2,3,4,4,7,9,1,6,6,3,3,1,female,Quite A bit stressful,level 7
2481,2481,2,5,1,2,0,2,24,1,2,3,3,4,7,7,2,6,6,2,3,3,male,Quite A bit stressful,level 7
2499,2499,2,2,1,6,0,2,35,1,2,2,3,3,8,9,1,6,1,2,2,3,male,A bit stressful,level 8
2508,2508,2,2,1,1,0,2,24,1,2,3,2,3,7,8,1,6,6,3,3,3,male,A bit stressful,level 7
2535,2535,4,5,2,1,0,2,35,1,2,3,6,5,0,5,2,6,6,5,2,3,female,Extremely stressful,Not at all satisfied
2536,2536,2,1,1,6,0,2,47,1,2,3,5,3,9,9,2,6,1,3,4,1,male,A bit stressful,level 9
2549,2549,5,4,1,1,2,1,59,1,2,3,3,2,8,7,5,6,6,3,3,2,male,Not very stressful,level 8
2551,2551,1,4,2,6,2,1,35,1,2,3,6,1,8,8,1,6,6,3,3,2,female,Not at all stressful,level 8
2553,2553,4,4,1,1,0,2,59,1,2,1,5,4,7,3,2,6,6,3,5,2,male,Quite A bit stressful,level 7
2557,2557,3,2,2,1,0,2,35,1,2,3,5,2,7,8,2,6,1,2,4,1,female,Not very stressful,level 7
2561,2561,1,3,2,5,2,1,24,1,2,1,4,4,8,7,2,6,6,3,4,3,female,Quite A bit stressful,level 8
2563,2563,4,4,1,1,1,1,46,1,2,3,6,3,8,9,1,6,6,1,3,2,male,A bit stressful,level 8
2569,2569,5,4,2,6,1,1,35,1,1,3,6,4,8,5,3,2,6,3,4,1,female,Quite A bit stressful,level 8
2578,2578,3,5,2,1,0,2,35,1,2,3,3,2,7,9,2,6,6,1,4,3,female,Not very stressful,level 7
2592,2592,3,4,1,1,1,1,35,1,2,3,6,1,10,10,1,6,6,1,2,2,male,Not at all stressful,Completely satisfied
2596,2596,2,4,1,1,1,1,46,1,2,3,4,3,9,8,1,6,6,2,3,4,male,A bit stressful,level 9
2602,2602,3,2,2,1,2,1,35,1,2,3,6,2,10,10,1,6,6,4,3,1,female,Not very stressful,Completely satisfied
2603,2603,2,3,2,1,3,1,35,1,2,3,6,3,9,7,2,6,6,2,3,2,female,A bit stressful,level 9
2608,2608,3,2,1,6,0,2,48,1,2,3,5,1,10,10,1,6,6,1,3,1,male,Not at all stressful,Completely satisfied
2621,2621,4,4,1,1,2,1,47,1,2,3,7,3,8,8,2,6,6,2,3,6,male,A bit stressful,level 8
2642,2642,3,4,2,5,1,1,24,1,2,3,6,4,3,3,3,6,6,2,3,2,female,Quite A bit stressful,level 3
2644,2644,1,5,2,1,0,2,35,1,2,3,5,2,6,10,1,6,6,3,2,1,female,Not very stressful,level 6
2664,2664,1,5,1,1,0,2,59,1,2,3,6,1,7,8,1,6,6,3,2,5,male,Not at all stressful,level 7
